"sample","condition","sample_region","individuum","big_area","area","Acronym","condition__Acronym","RIN"
"HB42","H","H42","HB","Insula","Insular Cortex Posterior","INSp","H__INSp",7.1
"HB44","H","H44","HB","Diencephalon","Medial Dorsal Thalamus","MDTH","H__MDTH",4.4
"HB46","H","H46","HB","Basal Ganglia","Substantia Nigra","SN","H__SN",5
"HB50","H","H50","HB","Limbic Lobe","Hipocampus-CA3/Dentate Gyrus","CA3_DG","H__CA3_DG",5.8
"HB52","H","H52","HB","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","H__BA22p",5.3
"HB56","H","H56","HB","White Matter","Posterior Corpus Callosum","CCp","H__CCp",2.8
"HB58","H","H58","HB","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","H__BA40p",4.3
"HB62","H","H62","HB","Parietal Lobe","Precuneus","BA7m","H__BA7m",5.5
"HB66","H","H66","HB","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","H__BA17a",5
"HB67","H","H67","HB","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","H__BA18_19a",5.9
"HB7","H","H7","HB","Frontal Lobe","Orbitofrontal Ctx","BA11","H__BA11",6.6
"HB71","H","H71","HB","Cerebellum","Cerebellar White Matter","CB_WM","H__CB_WM",3.4
"HB72","H","H72","HB","Cerebellum","Cerebellar Grey Matter","CB_GM","H__CB_GM",6.4
"HB74","H","H74","HB","Frontal Lobe","Medial Anterior Prefrontal Ctx","BA10m","H__BA10m",6.3
"HC11","H","H11","HC","Frontal Lobe","Ventrolateral PreFrontal Ctx-Broca","BA44","H__BA44",4.9
"HC12","H","H12","HC","Limbic Lobe","Cingulate Cortex Anterior","BA32","H__BA32",5
"HC14","H","H14","HC","Basal Ganglia","Caudate ","CAUD","H__CAUD",7.2
"HC15","H","H15","HC","Basal Ganglia","Nucleus Accumbens","NACC","H__NACC",6.4
"HC16","H","H16","HC","White Matter","Corpus Callosum Anterior","CCa","H__CCa",6
"HC18","H","H18","HC","Temporal Lobe","Temporopolar Ctx","BA38","H__BA38",5
"HC19","H","H19","HC","Frontal Lobe","Premotor Ctx Anterior Lateral","BA6a","H__BA6a",5.1
"HC21","H","H21","HC","Limbic Lobe","Cingulate Cortex Anterior","BA24","H__BA24",6.7
"HC23","H","H23","HC","Basal Ganglia","Putamen","PUT","H__PUT",6.7
"HC25","H","H25","HC","White Matter","Internal Capsule","IC","H__IC",4.2
"HC28","H","H28","HC","Frontal Lobe","1ary Motor Ctx","BA4","H__BA4",6.3
"HC29","H","H29","HC","Parietal Lobe","1ary Somatosensory Ctx","BA3_1_2","H__BA3_1_2",6.3
"HC3","H","H3","HC","Frontal Lobe","Dorsolateral Prefrontal Ctx","BA9","H__BA9",5
"HC30","H","H30","HC","Basal Ganglia","Globus Pallidus","GP","H__GP",4.6
"HC32","H","H32","HC","Diencephalon","Hypothalamus","HYP","H__HYP",7.4
"HC33","H","H33","HC","Limbic Lobe","Amygdala","AMG","H__AMG",5.8
"HC34","H","H34","HC","Limbic Lobe","Entorhinal Cortex","ENTCTX","H__ENTCTX",6.5
"HC36","H","H36","HC","Temporal Lobe","2ary Auditory","BA21a","H__BA21a",6.5
"HC37","H","H37","HC","Temporal Lobe","visual processing, recognition memory","BA20a","H__BA20a",6.4
"HC39","H","H39","HC","Temporal Lobe","1ary Auditory Ctx","BA41_42","H__BA41_42",5.3
"HC40","H","H40","HC","Limbic Lobe","Cingulate Cortex Posterior","BA31","H__BA31",5.8
"HC42","H","H42","HC","Insula","Insular Cortex Posterior","INSp","H__INSp",6.2
"HC44","H","H44","HC","Diencephalon","Medial Dorsal Thalamus","MDTH","H__MDTH",6
"HC46","H","H46","HC","Basal Ganglia","Substantia Nigra","SN","H__SN",5.9
"HC50","H","H50","HC","Limbic Lobe","Hipocampus-CA3/Dentate Gyrus","CA3_DG","H__CA3_DG",5.8
"HC52","H","H52","HC","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","H__BA22p",5.7
"HC56","H","H56","HC","White Matter","Posterior Corpus Callosum","CCp","H__CCp",3.9
"HC58","H","H58","HC","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","H__BA40p",6.2
"HC62","H","H62","HC","Parietal Lobe","Precuneus","BA7m","H__BA7m",5.6
"HC66","H","H66","HC","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","H__BA17a",3.6
"HC67","H","H67","HC","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","H__BA18_19a",3.6
"HC7","H","H7","HC","Frontal Lobe","Orbitofrontal Ctx","BA11","H__BA11",5.5
"HC71","H","H71","HC","Cerebellum","Cerebellar White Matter","CB_WM","H__CB_WM",3.5
"HC72","H","H72","HC","Cerebellum","Cerebellar Grey Matter","CB_GM","H__CB_GM",3.5
"HC74","H","H74","HC","Frontal Lobe","Medial Anterior Prefrontal Ctx","BA10m","H__BA10m",5.9
"HD11","H","H11","HD","Frontal Lobe","Ventrolateral PreFrontal Ctx-Broca","BA44","H__BA44",6.6
"HD12","H","H12","HD","Limbic Lobe","Cingulate Cortex Anterior","BA32","H__BA32",6.6
"HD14","H","H14","HD","Basal Ganglia","Caudate ","CAUD","H__CAUD",6.4
"HD15","H","H15","HD","Basal Ganglia","Nucleus Accumbens","NACC","H__NACC",7
"HD16","H","H16","HD","White Matter","Corpus Callosum Anterior","CCa","H__CCa",3.9
"HD18","H","H18","HD","Temporal Lobe","Temporopolar Ctx","BA38","H__BA38",6.9
"HD19","H","H19","HD","Frontal Lobe","Premotor Ctx Anterior Lateral","BA6a","H__BA6a",6.6
"HD21","H","H21","HD","Limbic Lobe","Cingulate Cortex Anterior","BA24","H__BA24",4
"HD23","H","H23","HD","Basal Ganglia","Putamen","PUT","H__PUT",5.3
"HD25","H","H25","HD","White Matter","Internal Capsule","IC","H__IC",5.2
"HD28","H","H28","HD","Frontal Lobe","1ary Motor Ctx","BA4","H__BA4",6.6
"HD29","H","H29","HD","Parietal Lobe","1ary Somatosensory Ctx","BA3_1_2","H__BA3_1_2",6
"HD3","H","H3","HD","Frontal Lobe","Dorsolateral Prefrontal Ctx","BA9","H__BA9",7.1
"HD30","H","H30","HD","Basal Ganglia","Globus Pallidus","GP","H__GP",4.6
"HD32","H","H32","HD","Diencephalon","Hypothalamus","HYP","H__HYP",4.8
"HD33","H","H33","HD","Limbic Lobe","Amygdala","AMG","H__AMG",7.4
"HD34","H","H34","HD","Limbic Lobe","Entorhinal Cortex","ENTCTX","H__ENTCTX",7.5
"HD36","H","H36","HD","Temporal Lobe","2ary Auditory","BA21a","H__BA21a",7.2
"HD37","H","H37","HD","Temporal Lobe","visual processing, recognition memory","BA20a","H__BA20a",6.3
"HD39","H","H39","HD","Temporal Lobe","1ary Auditory Ctx","BA41_42","H__BA41_42",5.8
"HD40","H","H40","HD","Limbic Lobe","Cingulate Cortex Posterior","BA31","H__BA31",7.9
"HD42","H","H42","HD","Insula","Insular Cortex Posterior","INSp","H__INSp",6.9
"HD44","H","H44","HD","Diencephalon","Medial Dorsal Thalamus","MDTH","H__MDTH",6.7
"HD46","H","H46","HD","Basal Ganglia","Substantia Nigra","SN","H__SN",6.4
"HD50","H","H50","HD","Limbic Lobe","Hipocampus-CA3/Dentate Gyrus","CA3_DG","H__CA3_DG",7.5
"HD52","H","H52","HD","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","H__BA22p",6.7
"HD56","H","H56","HD","White Matter","Posterior Corpus Callosum","CCp","H__CCp",3
"HD58","H","H58","HD","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","H__BA40p",6.8
"HD62","H","H62","HD","Parietal Lobe","Precuneus","BA7m","H__BA7m",6.2
"HD66","H","H66","HD","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","H__BA17a",6.2
"HD67","H","H67","HD","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","H__BA18_19a",6.8
"HD7","H","H7","HD","Frontal Lobe","Orbitofrontal Ctx","BA11","H__BA11",6.2
"HD71","H","H71","HD","Cerebellum","Cerebellar White Matter","CB_WM","H__CB_WM",2.5
"HD72","H","H72","HD","Cerebellum","Cerebellar Grey Matter","CB_GM","H__CB_GM",6.4
"HD74","H","H74","HD","Frontal Lobe","Medial Anterior Prefrontal Ctx","BA10m","H__BA10m",6.9
"X1_1","X","X_1","X1","Cerebellum","Cerebellar Grey Matter","CB_GM","X__CB_GM",8.9
"X1_15","X","X_15","X1","Frontal Lobe","1ary Motor Ctx","BA4","X__BA4",6.5
"X1_16","X","X_16","X1","Temporal Lobe","1ary Auditory Ctx","BA41_42","X__BA41_42",7.8
"X1_17","X","X_17","X1","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","X__BA17a",7.6
"X1_18","X","X_18","X1","Parietal Lobe","1ary Somatosensory Ctx","BA3_1_2","X__BA3_1_2",7.4
"X1_27","X","X_27","X1","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","X__BA18_19a",6.1
"X1_28","X","X_28","X1","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","X__BA22p",7
"X1_29","X","X_29","X1","Parietal Lobe","Precuneus","BA7m","X__BA7m",7.2
"X1_30","X","X_30","X1","Frontal Lobe","Premotor Ctx Anterior Lateral","BA6a","X__BA6a",9.2
"X1_31","X","X_31","X1","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","X__BA40p",7.1
"X1_32","X","X_32","X1","Frontal Lobe","Ventrolateral PreFrontal Ctx-Broca","BA44","X__BA44",8.3
"X1_33","X","X_33","X1","Temporal Lobe","visual processing, recognition memory","BA20a","X__BA20a",6.9
"X1_34","X","X_34","X1","Frontal Lobe","Dorsolateral Prefrontal Ctx","BA9","X__BA9",7.9
"X1_37","X","X_37","X1","Temporal Lobe","2ary Auditory","BA21a","X__BA21a",7.5
"X1_43","X","X_43","X1","Temporal Lobe","Temporopolar Ctx","BA38","X__BA38",7.4
"X1_46","X","X_46","X1","Frontal Lobe","Medial Anterior Prefrontal Ctx","BA10m","X__BA10m",9.6
"X1_47","X","X_47","X1","Limbic Lobe","Cingulate Cortex Posterior","BA31","X__BA31",7.6
"X1_48","X","X_48","X1","Limbic Lobe","Cingulate Cortex Anterior","BA24","X__BA24",6.7
"X1_49","X","X_49","X1","Limbic Lobe","Cingulate Cortex Anterior","BA32","X__BA32",7.7
"X1_50","X","X_50","X1","Frontal Lobe","Orbitofrontal Ctx","BA11","X__BA11",7.7
"X1_52","X","X_52","X1","Limbic Lobe","Amygdala","AMG","X__AMG",7.6
"X1_53","X","X_53","X1","Insula","Insular Cortex Posterior","INSp","X__INSp",6.7
"X1_54","X","X_54","X1","Limbic Lobe","Entorhinal Cortex","ENTCTX","X__ENTCTX",6.2
"X1_55","X","X_55","X1","Limbic Lobe","Hipocampus-CA3/Dentate Gyrus","CA3_DG","X__CA3_DG",6.3
"X1_56","X","X_56","X1","Basal Ganglia","Nucleus Accumbens","NACC","X__NACC",8.3
"X1_57","X","X_57","X1","Basal Ganglia","Caudate ","CAUD","X__CAUD",8.1
